"Steer","Gear","RPM","Speed","Distance","Min RPM","Max speed","Radius"
-0.750,3.000,8000.000,111.031,1980.262,3688.090,128.266,55.398
-0.750,4.000,7000.000,114.983,1980.262,4051.130,128.266,55.398
-0.749,1.000,7600.000,58.110,1854.743,2094.400,118.509,49.008
-0.749,2.000,8800.000,115.014,1981.346,5086.940,128.335,55.431
-0.749,3.000,8000.000,111.044,1981.346,3593.160,128.335,55.431
-0.749,4.000,7000.000,114.992,1981.346,4052.120,128.335,55.431
-0.748,1.000,7600.000,58.122,1855.168,2094.400,118.528,49.003
-0.748,2.000,8800.000,114.997,1982.471,5083.440,128.404,55.463
-0.748,3.000,8000.000,111.031,1982.471,3591.590,128.404,55.463
-0.748,4.000,7000.000,114.975,1982.471,4051.500,128.404,55.463
-0.747,1.000,7600.000,58.133,1855.552,2094.400,118.551,49.001
-0.747,2.000,8800.000,114.971,1983.546,5085.420,128.474,55.494
-0.747,3.000,8000.000,111.011,1983.546,3595.990,128.474,55.494
-0.747,4.000,7000.000,114.950,1983.546,4051.260,128.474,55.494
-0.746,1.000,7600.000,58.146,1855.943,2094.400,118.571,49.002
-0.746,2.000,8800.000,115.023,1984.631,5091.030,128.543,55.527
-0.746,3.000,8000.000,111.064,1984.631,3599.520,128.543,55.527
-0.746,4.000,7000.000,115.002,1984.631,4053.850,128.543,55.527
-0.745,1.000,7600.000,58.166,1856.346,2094.400,118.592,49.003
-0.745,2.000,8800.000,115.078,1985.734,5083.560,128.612,55.559
-0.745,3.000,8000.000,111.122,1985.734,3612.770,128.612,55.559
-0.745,4.000,7000.000,115.057,1985.734,4056.600,128.612,55.559
-0.744,1.000,7600.000,58.190,1856.738,2094.400,118.613,49.004
-0.744,2.000,8800.000,115.046,1986.761,5082.500,128.682,55.590
-0.744,3.000,8000.000,111.038,1986.761,3617.350,128.682,55.590
-0.744,4.000,7000.000,114.224,1986.761,4070.960,128.682,55.590
-0.743,1.000,7600.000,58.190,1857.082,2094.400,118.633,49.004
-0.743,2.000,8800.000,115.091,1987.805,5091.900,128.751,55.622
-0.743,3.000,8000.000,111.085,1987.805,3614.320,128.751,55.622
-0.743,4.000,7000.000,114.269,1987.805,4073.290,128.751,55.622
-0.742,1.000,7600.000,58.215,1857.467,2094.400,118.652,49.003
-0.742,2.000,8800.000,115.063,1988.881,5068.630,128.821,55.654
-0.742,3.000,7800.000,109.826,1988.881,3621.530,128.821,55.654
-0.742,4.000,7000.000,114.195,1988.881,4071.480,128.821,55.654
-0.741,1.000,7600.000,58.239,1857.895,2094.400,118.680,49.011
-0.741,2.000,8800.000,115.113,1989.953,5061.080,128.890,55.686
-0.741,3.000,7800.000,109.879,1989.953,3620.910,128.890,55.686
-0.741,4.000,7000.000,114.245,1989.953,4074.010,128.890,55.686
-0.740,1.000,7600.000,58.252,1858.310,2094.400,118.698,49.011
-0.740,2.000,8800.000,115.076,1990.995,5064.510,128.960,55.718
-0.740,3.000,7800.000,109.790,1990.995,3628.420,128.960,55.718
-0.740,4.000,7000.000,114.163,1990.995,4071.200,128.960,55.718
-0.739,1.000,7600.000,58.263,1858.647,2094.400,118.717,49.011
-0.739,2.000,8800.000,115.124,1992.053,5068.220,129.029,55.749
-0.739,3.000,7800.000,109.841,1992.053,3628.550,129.029,55.749
-0.739,4.000,7000.000,114.211,1992.053,4073.630,129.029,55.749
-0.738,1.000,7600.000,58.289,1859.027,2094.400,118.737,49.011
