OldState	Action		NewState
4447.15		0.12		4443.27
4447.15		0.11		4437.29
4447.15		0.1		4431.3
4447.15		0.09		4425.32
4447.15		0.08		4419.34
4447.15		0.07		4413.36
4447.15		0.06		4407.38
4447.15		0.05		4401.4
4447.15		0.04		4395.42
4447.15		0.03		4389.45
4447.15		0.02		4383.47
4447.15		0.01		4377.5
4447.15		0.0		4371.53
4975.87		1.0		5510.81
4975.87		0.99		5504.6
4975.87		0.98		5498.38
4975.87		0.97		5492.17
4975.87		0.96		5485.95
4975.87		0.95		5479.74
4975.87		0.94		5473.52
4975.87		0.93		5467.31
4975.87		0.92		5461.1
4975.87		0.91		5454.89
4975.87		0.9		5448.68
4975.87		0.89		5442.47
4975.87		0.88		5436.26
4975.87		0.87		5430.05
4975.87		0.86		5423.84
4975.87		0.85		5417.63
4975.87		0.84		5411.43
4975.87		0.83		5405.22
4975.87		0.82		5399.01
4975.87		0.81		5392.8
4975.87		0.8		5386.59
4975.87		0.79		5380.39
4975.87		0.78		5374.18
4975.87		0.77		5367.9799
4975.87		0.76		5361.77
4975.87		0.75		5355.57
4975.87		0.74		5349.37
4975.87		0.73		5343.16
4975.87		0.72		5336.96
4975.87		0.71		5330.75
4975.87		0.7		5324.55
4975.87		0.69		5318.35
4975.87		0.68		5312.15
4975.87		0.67		5305.95
4975.87		0.66		5299.75
4975.87		0.65		5293.54
4975.87		0.64		5287.34
4975.87		0.63		5281.14
4975.87		0.62		5274.9399
4975.87		0.61		5268.74
4975.87		0.6		5262.54
4975.87		0.59		5256.34
4975.87		0.58		5250.14
4975.87		0.57		5243.9399
4975.87		0.56		5237.75
4975.87		0.55		5231.55
4975.87		0.54		5225.36
4975.87		0.53		5219.17
4975.87		0.52		5212.97
4975.87		0.51		5206.79
4975.87		0.5		5200.6
4975.87		0.49		5194.41
4975.87		0.48		5188.2299
4975.87		0.47		5182.04
4975.87		0.46		5175.86
4975.87		0.45		5169.68
4975.87		0.44		5163.5
4975.87		0.43		5157.33
4975.87		0.42		5151.15
4975.87		0.41		5144.9799
4975.87		0.4		5138.8
4975.87		0.39		5132.63
4975.87		0.38		5126.46
4975.87		0.37		5120.29
4975.87		0.36		5114.13
4975.87		0.35		5107.96
4975.87		0.34		5101.8
4975.87		0.33		5095.64
4975.87		0.32		5089.4799
4975.87		0.31		5083.32
4975.87		0.3		5077.16
4975.87		0.29		5071.0
4975.87		0.28		5064.85
4975.87		0.27		5058.7
4975.87		0.26		5052.54
4975.87		0.25		5046.39
4975.87		0.24		5040.24
4975.87		0.23		5034.1
4975.87		0.22		5027.95
4975.87		0.21		5021.81
4975.87		0.2		5015.67
4975.87		0.19		5009.52
4975.87		0.18		5003.38
4975.87		0.17		4997.25
4975.87		0.16		4991.11
4975.87		0.15		4984.9799
4975.87		0.14		4978.84
4975.87		0.13		4972.71
4975.87		0.12		4966.58
4975.87		0.11		4960.45
4975.87		0.1		4954.32
4975.87		0.09		4948.2
4975.87		0.08		4942.07
4975.87		0.07		4935.95
4975.87		0.06		4929.83
4975.87		0.05		4923.71
4975.87		0.04		4917.59
4975.87		0.03		4911.47
4975.87		0.02		4905.36
4975.87		0.01		4899.24
4975.87		0.0		4893.13
5510.81		1.0		6044.75
5510.81		0.99		6038.4799
5510.81		0.98		6032.22
5510.81		0.97		6025.95
5510.81		0.96		6019.6899
5510.81		0.95		6013.43
5510.81		0.94		6007.17
5510.81		0.93		6000.91
5510.81		0.92		5994.65
5510.81		0.91		5988.39
5510.81		0.9		5982.13
5510.81		0.89		5975.87
5510.81		0.88		5969.61
5510.81		0.87		5963.35
5510.81		0.86		5957.09
5510.81		0.85		5950.84
5510.81		0.84		5944.58
5510.81		0.83		5938.33
5510.81		0.82		5932.07
5510.81		0.81		5925.82
5510.81		0.8		5919.56
5510.81		0.79		5913.31
5510.81		0.78		5907.05
5510.81		0.77		5900.8
5510.81		0.76		5894.55
5510.81		0.75		5888.3
5510.81		0.74		5882.05
5510.81		0.73		5875.79
5510.81		0.72		5869.54
5510.81		0.71		5863.29
5510.81		0.7		5857.04
5510.81		0.69		5850.8
5510.81		0.68		5844.55
5510.81		0.67		5838.3
5510.81		0.66		5832.05
5510.81		0.65		5825.8
5510.81		0.64		5819.56
5510.81		0.63		5813.31
5510.81		0.62		5807.07
5510.81		0.61		5800.82
5510.81		0.6		5794.58
5510.81		0.59		5788.33
5510.81		0.58		5782.09
5510.81		0.57		5775.85
5510.81		0.56		5769.61
5510.81		0.55		5763.37
5510.81		0.54		5757.12
5510.81		0.53		5750.88
5510.81		0.52		5744.64
5510.81		0.51		5738.4
5510.81		0.5		5732.16
5510.81		0.49		5725.93
5510.81		0.48		5719.6899
5510.81		0.47		5713.45
